"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"13753","Красноярск (Советский район)",2016-10-26,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13754","Красноярск (Советский район)",2016-10-31,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13755","Красноярск (Железнодорожный район)",2016-10-22,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13756","Красноярск (Железнодорожный район)",2016-10-22,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13757","Красноярск (Свердловский район)",2016-10-15,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13758","Красноярск (Свердловский район)",2016-10-20,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13759","Красноярск (Свердловский район)",2016-10-22,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13760","Красноярск (Свердловский район)",2016-10-26,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13761","Красноярск (Советский район)",2016-11-01,0,"Город","Многоквартирный жилой дом","II","Кухня","Стена, перегородка","Отделочные материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"13762","Красноярск (Ленинский район)",2016-11-01,0,"Город","Сооружения сетей тепло – и водоснабжения","Отсутствует","Коммуникационный тоннель и коллектор","Не установлена","Прочие материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13763","Красноярск (Советский район)",2016-11-02,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Не установлена","Прочие материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"13764","Красноярск (Советский район)",2016-10-22,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13765","Красноярск (Советский район)",2016-10-23,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Прочие материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13766","Красноярск (Советский район)",2016-10-26,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13767","Красноярск (Ленинский район)",2016-10-26,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13768","Красноярск (Ленинский район)",2016-10-26,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13769","Красноярск (Ленинский район)",2016-10-26,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13770","Красноярск (Ленинский район)",2016-10-27,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13771","Красноярск (Ленинский район)",2016-10-29,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13772","Красноярск (Ленинский район)",2016-10-29,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13773","Красноярск (Кировский район)",2016-10-25,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13774","Красноярск (Кировский район)",2016-10-27,0,"Город","Площадка для мусора, мусор на территории предприятия, организации, учреждения","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13775","Красноярск (Кировский район)",2016-10-27,0,"Город","Площадка для мусора, мусор на территории предприятия, организации, учреждения","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13776","Красноярск (Кировский район)",2016-10-28,0,"Город","Прочий объект на открытой территории","Не указана","На территории домовладения","Не установлена","Материал не указан","Причина не указана",0,0,1
"13777","Красноярск (Кировский район)",2016-10-28,0,"Город","Прочий объект на открытой территории","Не указана","На пустыре","Не установлена","Материал не указан","Причина не указана",0,0,1
"13778","Красноярск (Кировский район)",2016-10-29,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13779","Красноярск (Кировский район)",2016-10-29,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13780","Красноярск (Кировский район)",2016-10-27,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13781","Красноярск (Центральный район)",2016-11-03,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","ЛВЖ","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"13782","Красноярск (Ленинский район)",2016-11-03,0,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Стена, перегородка","Изоляционные материалы токоведущих частей","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"13783","Красноярск (Октябрьский район)",2016-11-02,0,"Город","Баня, сауна на территории домовладения","V","Сауна, парилка","Стена, перегородка","Деревянные, бумажные изделия, материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"13784","Красноярск (Октябрьский район)",2016-11-01,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13785","Красноярск (Октябрьский район)",2016-11-01,0,"Город","Площадка для мусора, мусор на территории предприятия, организации, учреждения","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13786","Красноярск (Октябрьский район)",2016-11-03,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13787","Красноярск (Советский район)",2016-10-27,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
"13788","Красноярск (Советский район)",2016-10-27,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13789","Красноярск (Советский район)",2016-10-29,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13790","Красноярск (Советский район)",2016-10-30,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13791","Красноярск (Железнодорожный район)",2016-10-27,0,"Город","Контейнер, бак, накопитель для мусора","Не указана","В контейнерах для сбора мусора (урнах)","Не установлена","Материал не указан","Причина не указана",0,0,1
